Title,Author,Narrator,Runtime,Release Date,Language,Average Rating,Total rating
Extremely Hardcore,Written by: Zoë Schiffer,Jaime Lamchick,8 hrs and 42 mins,2024-02-13,English,,
Broken Money,Written by: Lyn Alden,Guy Swann,17 hrs and 31 mins,2023-11-21,English,5.0,11.0
The AI Playbook,Written by: Eric Siegel,Eric Siegel,9 hrs and 20 mins,2024-02-06,English,,
Best PMP Exam Prep Guide 2023- 2024,Written by: Sam Swapn Sinha,Nicole Rhiannon,11 hrs and 30 mins,2023-12-03,English,,
Filterworld,Written by: Kyle Chayka,Kaleo Griffith,11 hrs and 56 mins,2024-01-16,English,,
Don't Make It Weird,Written by: Colleen Nichols,Colleen Nichols,4 hrs and 6 mins,2024-01-23,English,5.0,7.0
Uncontrollable,Written by: Darren McKee,Darren McKee,10 hrs and 16 mins,2023-12-04,English,5.0,3.0
The Algorithm,Written by: Hilke Schellmann,Hilke Schellmann,10 hrs and 21 mins,2024-01-02,English,,
Fundamentals of Data Engineering,"Written by: Joe Reis, Matt Housley",Adam Verner,17 hrs and 31 mins,2023-11-21,English,,
Learn AI-Assisted Python Programming,"Written by: Leo Porter, Daniel Zingaro",Mark Thomas,9 hrs and 31 mins,2024-02-06,English,,
"Not with a Bug, but with a Sticker","Written by: Ram Shankar Siva Kumar, Hyrum Anderson, Bruce Schneier - foreword",Shawn K. Jain,7 hrs,2023-11-21,English,,
Building Neural Networks from Scratch with Python,Written by: L.D. Knowings,Bryan Hughey,3 hrs and 50 mins,2024-02-16,English,,
"Becoming a YouTube Sensation Bundle, 2 in 1 Bundle","Written by: Ryan Goodwin, Lucas Mann",Steven Myles,1 hr and 12 mins,2024-02-16,English,,
How to Be a YouTube Star,Written by: Lucas Mann,Steven Myles,36 mins,2024-02-16,English,,
Code Gamers Development 2 in 1 Value Bundle,Written by: A.E. Colonna,"Elizabeth Phillips, Nicholas Seitz",7 hrs and 53 mins,2024-02-14,English,,
Beginner’s Guide to Starting a YouTube Channel,Written by: Ryan Goodwin,Steven Myles,35 mins,2024-02-15,English,,
CompTIA Cloud+ (Plus) Certification,Written by: Jake T Mills,Tom Brooks,5 hrs and 21 mins,2024-02-14,English,,
Insights,Written by: Bradley Yost,Jonathan Ailes,2 hrs and 34 mins,2024-02-13,English,,
Top Ten Ways Authors Can Embrace the Metaverse,Written by: B Alan Bourgeois,Jeffrey Schmidt,1 hr and 16 mins,2024-02-12,English,,
The Artificial Intelligence and Generative AI Bible,Written by: Alger Fraley,Ralph Mitchell,5 hrs and 31 mins,2024-02-01,English,,
How to Make a Video Game All by Yourself,Written by: Matt Hackett,Matt Hackett,2 hrs and 2 mins,2024-01-26,English,,
Curious Minds Ask,Written by: S.C. Francis,S.C. Francis,5 hrs and 8 mins,2024-02-12,English,,
