Title,Company,Location,Description,Benefit,Pay,Job Type,Shift
English & Mandarin,Style Democracy,"6900 Airport Road, Mississauga, ON","*PLEASE READ THOROUGHLY*:
-An amazing Warehouse Sale is coming to Mississauga!! Up to 70 hours of work available!!
-StyleDemocracy is North America’s leading Sample + Warehouse Sale event management company for top global fashion brands
-We are looking for experienced Brand Ambassadors to work at this exciting Sample Sale
REQUIREMENTS/DESCRIPTION:
-**You MUST be fluently English and Mandarin-speaking**
-You will be providing customer service for our VIPS and assisting with our checkout/payment process
-You must have customer service experience/skills, leadership qualities, and be comfortable with conflict resolution in helping the customers with any possible issues
-We are prioritizing those who can work full shifts, so please specify your availability/schedule when applying (hours of operation below)
-Must be able to reliably commute to the International Centre, 6900 Airport Rd, Mississauga, ON L4V 1E8
-You will be hired as an event contractor
-Payment made via direct deposit within one business week of the conclusion of the event
***Please note: This is NOT a full-time job - it is only for the hours of operations listed below.***
If you are interested and able to work, please respond with your availability in this format exactly - you can copy and paste it, then edit to input your times:
Wednesday February 21: 8am-10pm
Thursday February 22: 8am-10pm
Friday February 23: 8am-10pm
Saturday February 24: 8am-10pm
Sunday February 25: 8am-11pm
Job Types: Part-time, Casual, Seasonal
Contract length: 7 days
Salary: $17.00 per hour
Schedule:
10 hour shift
12 hour shift
Day shift
Evening shift
Monday to Friday
Morning shift
Weekends as needed
Language:
Mandarin (required)
Ability to Commute:
Mississauga, ON L4V 1E8 (required)
Work Location: In person
Expected start date: 2024-02-21",,$17 an hour,"Part-time, Seasonal, Casual","12 hour shift, Weekends as needed, 10 hour shift, Morning shift, Evening shift, Day shift, Monday to Friday"
Legal Assistant,"Smockum Zarnett LLP - Toronto, ON",,"Smockum Zarnett LLP, a boutique Insurance Defence Litigation Firm located in the downtown core is now hiring.
We are currently seeking an experienced Litigation Legal Assistant, with a minimum of 5+ years’ experience in Tort and Insurance. This position is working for one Partner and one Associate.
What we are looking for:
5+ years of direct experience in civil insurance defence litigation
Strong knowledge of the Ontario Rules of Civil Procedure
Extensive experience in tort litigation matters
Experience in commercial litigation is an asset
Strong digital dictation experience
A keen attention to detail and strong organization skills
Excellent communication skills both verbal and written;
Resourceful individual who takes initiative;
Is time conscious and deadline oriented;
Proficiency with various computer applications, such as PC Law, Word, Worldox, Outlook, Primafact, Microsoft OneDrive and Adobe Acrobat
Experience with technology and working in a remote/hybrid environment
Successful completion of a related post-secondary Legal Assistant program
In this role, your responsibilities will include (but not be limited to):
Opening and maintaining files, ensuring policies and procedures are followed according to client guidelines
Managing lawyers' calendars
Arranging discoveries, mediations, IME's interpreters etc.
Serving and filing court documents through on-line court portal
Drafting correspondence, pleadings, motion records, releases etc.
Obtaining dismissal orders and/or notice of discontinuance
Manage duties related to accounting (dockets, bills, expenses, etc.)
Produce the highest quality of work
And other duties related to administration of the practice
We offer a positive, friendly and supportive work environment along with competitive compensation and benefits.
Commensurate with skill level and years of experience.
Hybrid - alternating 3 days remote/2 days in office followed by 3 days in office and 2 days remote. (Eligible for hybrid after 3 month probation period ends)
Smockum Zarnett LLP is an equal opportunity employer and is committed to diversity, inclusion and accessibility.
While we thank all applicants for their interest, only those selected for an interview will be contacted. No phone calls or agencies please.
Job Types: Full-time, Permanent
Benefits:
Dental care
Extended health care
RRSP match
Vision care
Schedule:
8 hour shift
Monday to Friday
Education:
Secondary School (preferred)
Experience:
legal assistant: 5 years (required)
Work Location: Hybrid remote in Toronto, ON M5H 2M8","Dental care, Extended health care, RRSP match, Vision care",,"Permanent, Full-time","8 hour shift, Monday to Friday"
Technical Sales for Solar Energy System,Microgreen Solar,"860 Denison Street, Markham, ON","Products:
- Solar energy system including solar panels, inverters, charge controllers and batteries
Responsibilities:
- Actively seek out new sales opportunities through cold calling, networking, and social media
- Set up meetings with potential clients and listen to their needs and concerns
- Prepare and deliver appropriate presentations on products and services
- Create frequent reviews and reports with sales and financial data
- Participate in trade shows, conferences, and events to showcase the company's products
Qualifications:
- Knowledge of electrical and solar energy system
- Proven work experience as a Sales Representative or similar role
- Proficiency in CRM software and Microsoft Office Suite
- Excellent negotiation and communication skills
- Ability to build rapport with customers
- Time management and planning skills
Job Types: Full-time, Permanent
Salary: $40,000.00-$45,000.00 per year
Benefits:
Flexible schedule
Flexible Language Requirement:
French not required
Schedule:
Monday to Friday
Supplemental pay types:
Commission pay
Overtime pay
Work Location: In person
Application deadline: 2024-02-28
Expected start date: 2024-03-01",Flexible schedule,"$40,000–$45,000 a year","Permanent, Full-time","Overtime, Monday to Friday"
Field Sales Representative,THE LASH SHOP,"84 Wingold Avenue, North York, ON","Company Overview:
THE LASH SHOP is a leading provider of lash training and professional products. We pride ourselves on delivering exceptional products and unparalleled customer service to clients across Canada and the U.S.
Position Overview:
We are seeking a dynamic and passionate Field Sales Representative with a strong background in the beauty industry to join our team. The ideal candidate will have a proven track record in retail sales, exceptional communication skills, and a genuine passion for educating clients on beauty products.
Key Responsibilities:
- Educate clients and potential clients on our range of products, highlighting their features and benefits.
- Drive store sales and exceed sales targets through effective product demonstrations and sales techniques.
- Build and maintain strong, collaborative relationships with store-level personnel to ensure optimal product placement and brand visibility.
- Conduct in-store training sessions and workshops to educate store staff on product knowledge and sales techniques.
- Monitor and analyze sales performance data to identify trends, opportunities, and areas for improvement.
- Provide regular sales reports and updates to management, demonstrating accountability and results orientation.
Must Haves:
- Strong sales background in the beauty industry, with a passion for education and sales in a retail environment.
- Stellar sales and communication skills, with the ability to thrive in a fast-paced environment.
- Experience developing in-store relationships and a natural ability to drive sales and achieve goals.
Responsibilities:
- Educate clients and potential clients on products.
- Drive store sales to meet sales targets.
- Build strong, collaborative relationships with store-level personnel.
Requirements:
- A minimum of 2 years’ experience in prestige beauty and/or retail sales environment.
- Proven experience developing in-store relationships.
- Accountability and reliability with excellent time-management skills.
- Results-oriented mindset
- Must have own vehicle for travel
Job Type: Part-time
Salary: $18.00-$25.00 per hour
Expected hours: 20 – 30 per week
Benefits:
On-site parking
Schedule:
Monday to Friday
Weekends as needed
Supplemental pay types:
Commission pay
Application question(s):
Will you be able to travel to meet clients?
Experience:
sales: 1 year (preferred)
Licence/Certification:
Driving Licence (preferred)
Ability to Commute:
North York, ON M6B 1P5 (required)
Work Location: In person",On-site parking,$18–$25 an hour,Part-time,"Weekends as needed, Monday to Friday"
Warehouse Material Handler Food and Beverage,Canada's Wonderland,"9580 Jane Street, Vaughan, ON","Overview:
$18.00 / hr.

Applicants must be a minimum of 18 years of age. Rate may vary depending on experience.

Ensure products are received and make deliveries to all food units in the Park on a timely basis.

Responsibilities:
Ensure products are received and make deliveries to all food units in the Park on a timely basis
Maintain a clean and sanitary work environment
Stocking warehouse shelves, refrigerators and freezers
Provide stock level information to Supervisors
Ensure all warehouse vehicles remain clean and free of debris
Assist Warehouse Supervisors with paperwork as required
Any additional duties outlined by Warehouse Supervisor, Executive Chef or full time team member
Assist with other duties as assigned

Qualifications:
Minimum 18 years of age
Experience working in a warehouse environment and working with heavy equipment is an asset
Takes a proactive approach and works with a positive attitude
Able to work in an efficient manner with an emphasis on safety
Able to perform heavy lifting up to 40 lbs.
Experience with a forklift is an asset; must be able to successfully complete CW certification; Smart Serve certification is an asset
Must be able to work in cold environments such as refrigerators and freezers as needed
Able to work independently, as well as in a team environment
Valid Ontario Driver’s License (class G/G2). If hired, a driver’s abstract is required
Able to work full time hours beginning in May through Labour Day and on weekends until the end of December
Able to work flexible hours including early shifts (starting at 5am) and late shifts (ending at 8pm) as well as, working on weekends and holidays
Candidates must provide their own certified safety boots
Able to wear personal protective equipment deemed necessary to perform this job safely (may include; gloves, mask and/or face shield, non-slip shoes etc)",,$18 an hour,Full-time,"Weekends as needed, Holidays"
Customer Service Agent,WestJet,,"Why WestJet:

Every WestJet journey has the potential to enrich lives; a career with us is no exception.

WestJet arrived on the Canadian airline scene in 1996 and changed the industry for the better. We made air travel more affordable for Canadians and now we're going global.

Join us and love where you’re going.

We are proactively hiring to pool candidates for anticipated upcoming vacancies. This is a part-time position with scheduling requirements averaging 20-30 hours per week.

What this role is all about:
WestJet's Customer Service Agents are responsible for helping our guests have a positive experience getting through the airport and on to the aircraft. You are often the first in-person point of contact for our guests and play a crucial role as a WestJet brand ambassador.

Your expertise is essential in providing a safe and stress-free experience by helping guests check-in, supporting self-serve kiosks, preparing the aircraft for on-time departure, executing successful deplaning and boarding processes, greeting our most recent arrivals, assisting guests with connections, and more! You are there to help our guests, while creating the experience our guests have come to know and love about WestJet.

What you will bring to the team:
You are a true customer service agent and come with a minimum of two years’ experience in a customer-facing role.
You understand the importance of safely performing on-time and bring a proven track record for punctuality and reliability.
You are a multitasker, comfortable working in a fast-paced, time-sensitive environment, and work well under pressure.
You must have the ability to walk long distances, stand for extended periods of time and be able to lift up to 50lbs.
You are an effective communicator with demonstrated proficiency with computers and recent experience using Windows-based software.
Prior experience working in an airline, travel, tourism or hospitality would be considered an asset.
Ability to work a flexible work schedule. You will be required to work shift work, as we are a 24/7 operation.
Candidates must be proficient in reading the English language as one requirement to be successful in the completion of training.Our training environment has evolved and has become more virtual and self-directed than in the past. This change has resulted in an increase in reading requirements via independent and on-line learning as an integral part of the training program.

Responsibilities:
Providing a safe and positive airport experience for our guests travelling through our airport.
Perform guest service tasks such as processing service fees, creating new and/or changing reservations, issuing tickets, support self-serve kiosks, assisting guests with mobility issues, aircraft arrivals and departures.
Troubleshooting Concerns - Assisting guests with itinerary changes, supporting guests with disrupted flights as well as delayed and damaged baggage. Providing a safe and positive airport experience for our guests travelling through our airports.
Follow all procedures to safely perform on time (SPOT).
Ensure and uphold exceptional guest service standards.
Effectively manage uncomfortable or challenging situations with the public.
Carry oneself with the utmost professionalism and poise while on-duty or in the public eye.
Must adhere to uniform and appearance standards as prescribed under company policy.
Other duties as assigned.

Growth and Development:
At WestJet, we take pride in our team and want to see each and every person reach their full potential. Our Airports department offers many opportunities to grow your career in various operational, support and leadership roles. As each WestJetter's career path is unique, we encourage growth and development conversations with your leader, who will be there to support you on your journey.


The benefits of being a WestJetter:
WestJet provides all WestJetters with a competitive total rewards package. On top of that, we offer:
A fun and friendly culture with colleagues who work together to win
Travel privileges for you and your family, effective from your start date
Savings and Benefit programs that are flexible to meet your specific needs

Think we are a fit? Apply now!

About WestJet Group of Companies
Together with WestJet's regional airline, WestJet Encore, we offer scheduled service to more than 100 destinations in North America, Central America, the Caribbean and Europe and to more than 175 destinations in over 20 countries through our airline partnerships.

Our Safety Promise
At WestJet, the safety and security of our people and our guests is a core value and at the heart of what we do. As safety and security is a shared responsibility, it is expected that you will use safe work practices to ensure your well-being and the safety of others.

WestJet recognizes that the use of Alcohol and Drugs can adversely impact a safe work environment and the well-being of others including guests, suppliers and the public, as well as place WestJet's operations at risk. All roles that are identified as safety sensitive are required to pass a Pre-Employment Alcohol and Drug Test as per WestJet's Alcohol and Drug Policy.

Our Commitment to Diversity and Inclusion
We embrace what makes us each unique, and what makes us uniquely WestJet. WestJet is committed to inclusiveness, equity, and accessibility and if you require accommodation during the selection process, please let our Talent Acquisition team know. We encourage all qualified candidates to apply. We thank all applicants for their interest in WestJet; however, only those candidates who are selected will be contacted.

For more information about everything WestJet, please visit WestJet.com.
#LI-CP1",,,Part-time,
16 Years of Excellence: Remote Sales Finance Agent with Potential $150K First,Advance Funds Network LLC,,"Join Our Remote Team and Thrive on Commission + Incentives! (La liste en français se trouve en bas.)
Who We're Looking For:
Inside Sales Representatives to connect with businesses seeking working capital (B2B).
Self-motivated individuals with outbound sales experience, ready to grow and excel within our 16+ year old company.
Tech-savvy with experience working in CRM's and Google Suite, along with the ability to manage time effectively without micromanagement.
Flexible, yet full-time availability
What We Offer:
No salary or base pay, but significant earning potential right from the start, with monthly earnings between $4k to $10k based on incentives, bonuses all fully transparent & paid weekly via ACH
Fully remote, full-time position, perfect for those ready to work from home
All necessary training, tools & tech provided, CRM & top-tier support systems.
No financial experience needed—just a self driven attitude & sales experience.
Opportunity for long-term income with residuals and no earning cap.
Benefits:
Competitive incentives and commissions, with average first-year earnings between $65,000 to $175,000.
Work from anywhere, perfect for those seeking the flexibility of remote work without office limitations. Please note, this role requires full-time dedication for true success; part-time commitments won't suffice.
Continuous training and mentorship to keep you advancing in your career, with daily trainings & virtual meetings.
Equal Opportunity:
We celebrate diversity and are dedicated to fostering an inclusive workplace for all. While we boast 70% of our agents as six-figure earners among our ranks, we also prioritize enjoyment and engagement, crafting a vibrant, competitive, yet collaborative atmosphere that energizes and inspires everyone.
--------------------------------------------
Rejoignez notre équipe à distance et profitez de commissions et d'incitations attractives !
Nous recherchons :
Représentants commerciaux pour entreprises cherchant des capitaux (B2B), autonomes avec expérience en vente sortante.
Profil technophile, maîtrise des CRM et Google Suite, gestion efficace du temps.
Poste à temps plein, entièrement à distance, avec formation complète et outils fournis.
Offre :
Potentiel de gain dès le départ : 4 000 $ à 10 000 $ USD par mois, paiements hebdomadaires transparents.
Opportunité de revenu à long terme sans plafond.
Avantages incluant formations continues et mentorat, avec gains moyens de 65 000 $ à 175 000 $ USD la première année.
Travail de n'importe où, engagement à temps plein requis pour réussir.
Nous valorisons la diversité et offrons un environnement de travail inclusif. Ambiance dynamique et collaborative, avec une majorité d'agents gagnant six chiffres en USD.
Rejoignez-nous pour une carrière épanouissante à distance !
Job Type: Full-time
Pay: $85,000.00-$500,000.00 per year
Benefits:
Flexible schedule
Work from home
Schedule:
Monday to Friday
Weekends as needed
Supplemental pay types:
Bonus pay
Commission pay
Work Location: Hybrid remote in Toronto, ON M6P 1Z2","Flexible schedule, Work from home",,Full-time,"Weekends as needed, Monday to Friday"
Executive Assistant,Incubation Systems Private Limited,"200 Bloor Street East, Toronto, ON","Project Duration: 12 months contract with possible extension.
Job Type: Onsite - 5 days
Job Description
Seeking candidates with previous work experience in a professional services firm. Responsible for providing administrative support to executive-level individuals. One primary executive and lighter admin support for 2 to 3 AVP managers. Seeking a polished professional, with high ability to manage confidential information.
Responsibilities include assisting assigned executive in the management of schedules, handling calls from both internal and external sources, typing correspondence including letters, memos, forms, policies and procedures and managing confidential information in a professional manner.
Prepare and provide reporting as needed.
Schedule and coordinate all required resources for meetings.
Handle additional administrative tasks as necessary including management of Head Office administrative components.
Minimum 2 to 3 years experience.
Proficient in Word, Excel and PowerPoint.
Must be able to interface well with all departments of the company and to represent the executive officer in a highly professional manner.
Strong communication skills and multi-tasking capabilities are a must.
Must have high level of interpersonal skills to handle sensitive and confidential situations.
Position continually requires demonstrated poise, tact and diplomacy.
Job Types: Full-time, Fixed term contract
Contract length: 12 months
Salary: $30.00-$32.00 per hour
Schedule:
8 hour shift
Day shift
Monday to Friday
Experience:
Executive Assistant: 3 years (required)",,$30–$32 an hour,"Full-time, Fixed term contract","8 hour shift, Day shift, Monday to Friday"
Customer Service Agent (PT),Jazz Aviation LP,,"Customer Service Agent (PT)
Apply by Date: Feb 25, 2024
Primary Location: CA-ON-Toronto
Schedule: Part-time
Job Type: Permanent
Shift: Shift Work
Number of Openings: 1
Jazz was voted one of Canada’s Best Diversity Employers and one of Canada’s Top Employers for Young People in 2023!

As a Jazz Customer Service Agent, you will be part of a team professionally representing Air Canada Express. In the course of a day, you will be responsible for greeting passengers, assisting them with their check in and bag tagging, via our web based computer system, as well as facilitating the boarding and deplaning of all Air Canada passengers in your station. You may be asked to lift a suitcase or push a wheelchair. The airport can be a fast paced environment during the aircraft arrival and departure period; however, safety and customer service is our top priority!
Join our team and you and your immediate family members will enjoy perks such as: special rates on airfare, car rentals, hotel accommodation, vacation packages and even cruises. Transfer to any of our other Canadian locations when we have open positions, or take a management career path!
Hear some of our Customer Service Agents talk about
""Why they love their job""

Purpose of Position:
To provide exceptional customer service by greeting and serving passengers at airport counters and gates.

Key Responsibilities:
Using an airline computerized system:
Make reservations and assessing fares;
Ticketing and complete daily sales reports;
Passenger check-in;
Check, weigh the baggage, calculate any excess baggage charges and process payment.
Make general passenger announcements.
Liaise with external and internal customers. i.e. ramp agent, flight crew, dispatch, etc.
Provide outstanding customer service answering general inquiries at the airport.
Assist passengers requiring special handling.
Handle and resolve customer complaints.
Departure Gate customer service and boarding as well as providing assistance to passengers to and from aircraft.
Perform duties in accordance with established policies and procedures while giving primary consideration to personal safety, and the safety of co-workers and customers.
Other related duties as assigned.
Depending on the base, other duties may include:
Cargo processing.
Handle missing baggage and damaged baggage claims.
Jet-way operation.
Conduct radio communications with aircraft and record flight information.
Qualifications:
High school diploma or equivalent.
Previous airline experience or post-secondary courses in travel and tourism are definite assets.
Minimum one (1) year of customer service experience.
General computer experience including the ability to type and navigate the internet as well as any previous experience using an airline reservation system is considered an asset.
Demonstrated judgment and problem-solving ability and effective decision-making skills.
Excellent interpersonal, verbal and written communications skills.
Ability to work varying shifts, handling of tight deadlines, and prioritization of multiple tasks.
If hired, must be able to successfully complete the Customer Service Agent Initial training course in accordance with Company Standards.
Must obtain and maintain a Restricted Area Identification ID pass (to be obtained upon employment).
English language required.
French language is considered an asset*
Note: Bilingualism is a requirement at bases in the province of Quebec. We are proud to offer Bilingual Services at many of the airports we serve. Please indicate on your application and resume if you are bilingual in English and French.

We strive to hire candidates with diverse abilities. We want to ensure that you are prepared for success and therefore request that you please let us know at taleosupport@flyjazz.ca if you require an accommodation during the recruitment process.
Jazz recognizes that the best talent includes people of all backgrounds, abilities and points of view. To be a leader in our industry, Jazz celebrates diversity and values the uniqueness that each individual has to offer. We empower our people to foster an internal culture of inclusion, creating safe workspaces where everyone can be their authentic self. Meeting the needs of our diverse passengers is critical to our success and we recognize the importance of a workforce that is reflective of the communities we serve.
Requisition ID: YTZ-2024-5200-011276",,,"Permanent, Part-time",
Sandwich Artist,Subway - 31027-0,,"As part of the Subway® Team, you as a Sandwich Artist ® will focus on four main things:
Providing an excellent Guest experience
Preparing and serving great food
Keeping restaurants clean and beautiful
Being a Team player
Key parts of your day to day will consist of:
Working with our Guests to knowledgeably recommend meal options and fulfill their orders from start to finish
Upholding food safety standards as you prepare and serve fresh food daily
Working with your teammates to keep all areas of the restaurant clean while maintaining a pleasant atmosphere for our Guests
As a Subway® Team Member, you’ll have access to:
Brand partnership discounts
Scholarship Opportunities
Opportunity to earn University course credits
Hands on career experience in a restaurant business

PREREQUISITES
Education: Some high school or equivalent
Experience: No previous experience required

ESSENTIAL FUNCTIONS
Ability to understand and implement written and verbal instruction.

Physical: Ability to work any area of the restaurant as needed and to operate computerized Point of Sale system/cash register. This position requires bending, standing and walking the entire workday. Must have the ability to lift 10 pounds frequently and up to 30 pounds occasionally.

You will receive training on your roles and responsibilities
Full Time/Part Time and Day/Evening/Weekend Shift positions vary by location

INDQS",,,"Part-time, Full-time","Weekends as needed, Evening shift, Day shift"
