Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
Modern Bright 1+1 Bedroom High Rise with Parking HWY 401/Kennedy,2550,"Village Green Square, Scarborough, ON",2024-03-06 05:17:30,Condo,1 + Den,1,,Not Included,1,1 Year,"March 8, 2024",No,700,Yes,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Elevator in Building","Option of Furnished or unfurnished, modern High Rise Building, Bright; Beautiful One Bedroom plus Den and one Parking, Laminate Floor, Modern Kitchen With Stainless Steel Appliances. Easy Access To Hwy 401/404/DVP, Go Transit, TTC, , Walking Distance To Kennedy Commons, Few Not far To Centennial College, U Of T Scarborough, Scarborough Town Centre & Subways. Amenities Guest Suites, Party Room, Media, Theater Room, Fitness,, Game Rooms, Visitor Parking, 24 Hrs Concierge With Security Guard & Much More. Credit Report with Score, Rental Application, References, Key and Furniture Deposit Required. Please text or call to book a showing. Thank you",89 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/modern-bright-1-1-bedroom-high-rise-with-parking-hwy-401-kennedy/1687422211
Davisville Village Apartments - 2 Bdrm available at 141 Davisvil,2925,"141 Davisville Avenue, Toronto, ON, M4S 2Y9",2024-03-11 21:39:43,Apartment,2,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,No,,,Visit our Website: https://www.rpmsi.ca/property/davisville-village-apartments-141-davisville/,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/davisville-village-apartments-2-bdrm-available-at-141-davisvil/1686716361
214 St George - 1 Bedroom Apartment for Rent,2500,"214 St. George Street, Toronto, ON, M5R 2N8",2024-03-09 12:52:37,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"April 1, 2024",Yes,596,No,No,Balcony,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/214-st-george-1-bedroom-apartment-for-rent/1684002993
"Renovated bachelor, King and Jameson - ID 2541",1700,"28 Maynard Avenue, Toronto, ON, M6K 2Z9",2024-03-01 00:09:07,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,Not Available,"April 1, 2024",Yes,293,No,No,Not Included,No,"Laundry (In Unit), Laundry (In Building), Fridge / Freezer",Bicycle Parking,,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-king-and-jameson-id-2541/1683888315
Fantastic Room for Rent near Don Mills Subway & Sheppard!,900,"North York, ON M2J 3C9",2024-02-18 16:52:22,,,,,,,,,No,,Yes,,,,,,Fantastic Room for Rent near Don Mills Subway & Sheppard!,681 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/fantastic-room-for-rent-near-don-mills-subway-sheppard/1685697222
"Treatment Room for Rent at Sol Medical Spa. Forest Hill, Toronto",1200,"Toronto, ON M5N 1E3",2024-03-10 19:05:00,,,,,,,,,Yes,,No,,,,,,"Access to a waiting room, Laundry, bathrooms , great room for a start up. The price is $1200 to $1500 depending on the size you would like",749 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/treatment-room-for-rent-at-sol-medical-spa-forest-hill-toronto/1677000200
Private Bedroom for Rent (Downtown Toronto),1100,"Pembroke Street, Toronto, ON",2024-03-12 06:39:38,,,,,,,,,No,,Yes,,,,,,"Intersection: Dundas St & Jarvis St
⏰MOVE-IN date: Flexible
⏰Duration: Preferably 1 Year",1 visit,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-bedroom-for-rent-downtown-toronto/1687978792
Cozy room for rent,1150,"Florence Ave, Toronto, M2N 1G4",2024-03-12 06:15:26,,,,,,,,,No,,Yes,,,,,,"Dear Friend,
Thank you for reaching out to inquire about the rooms for rent in North York, Ontario! We appreciate your interest, and I'd be more than happy to provide you with further information.",336 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/cozy-room-for-rent/1687422121
New 2 Bedroom condo near Young /Eglinton Subway for rent,2750,"Toronto, ON M4S",2024-03-12 06:14:06,Condo,2,2,,Not Included,0,1 Year,"March 13, 2024",No,700,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","Big intersection: Young/ Eglinton
Address: 50 Dunfield Ave, Toronto, M4S 0E4",2 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-2-bedroom-condo-near-young-eglinton-subway-for-rent/1687978286
Scarborough Basement Rent M1E1W8,1900,"95 Galloway Rd, Scarborough, ON M1E 1W8",2024-03-12 05:56:04,Basement,1,1,,Not Included,0,1 Year,"March 26, 2024",No,"1,500",Yes,Yes,Not Included,No,,,"Located in Scarborough, Toronto M1E1W8
Available Brand new private basement with separate entrance, 1 large bedroom, 1 bathroom, washer and dryer (ensuite laundry), open concept kitchen, walking closest & living room.
Available starting March 2024.
$1900 per month. Tenant pays 1/3 of utilities.
5 mins walk to Guidlwood Go Station, 10 mins walk to 24/7 bus route Galloway/Kingston intersection.
13 mins to highway 401, Scarborough Town Centre etc.
No smoking, marijuana, and electronic cigarettes. No parties, loud music, and overnight guests.
Required: Proof of Income/ID
Perfect for a Couple",5 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-basement-rent-m1e1w8/1687977907
♡ NorthYork room rent,1000,"Steeles Ave E, Thornhill, ON L3T 1A8",2024-03-12 05:48:57,,,,,,,,,,,Yes,,,,,,"♡Beautiful Room Renting in North York (Steeles/Bayview)
For male immediately
Quiet and great environment
Room in the second floor
For one person only
Bright, Big window. Beautiful Garden view.
Super Clean and Quiet !
Feels like your home
Near the Yonge /Finch area
Beautiful room
Nice neighborhood
Safe home
Specious Room
One min walk to TTC.
All inclusive w/ wifi internet
Laundry A long term only.
**Requirements for Full time job**
* No parking
* No smoker",8 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/northyork-room-rent/1687977783
FULLY FURNISHED ALL INCL 1 BD 1 BATH 1 PARKING CENTRAL ETOBICOKE,2550,"Etobicoke, ON M9A 5H3",2024-03-12 05:45:13,Condo,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,1 Year,"March 12, 2024",Limited,600,Yes,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Elevator in Building","The unit comes fully furnished with hi-end modern furniture! Ideal opportunity to move into this highly desirable Richview/ Edenbridge Neighborhood! Very bright open concept layout with beautiful hardwood flooring throughout & soaring 9' ceilings! The unit features a fully stocked modern kitchen with granite countertop, office setup with height adjustable stand-up desk, modern dining area, smart TV, queen size bed, closets, nice washroom with shower and bathtub, and a sunny balcony with garden furniture. Quiet and meticulously kept condo building! Walk to James Gardens Park, steps to TTC stops, close to grocery stores, cafes, golf, tennis courts, bike paths, and more. Short TTC ride to Royal York & Runnymede subway stations. 10 minute drive to airport!",3 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/fully-furnished-all-incl-1-bd-1-bath-1-parking-central-etobicoke/1687977718
ROOM for rent for UTSC & Centennial College student.,820,"Scarborough, ON M1E 5C4",2024-03-12 05:37:38,,,,,,,,,No,,Yes,,,,,,ROOM for rent for UTSC & Centennial College student.,2 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-for-utsc-centennial-college-student/1687977553
Room for rent available in Toronto,1200,"120 Oriole Pkwy, Toronto, ON M5P 2G8",2024-03-12 05:30:12,,,,,,,,,,,Yes,,,,,,"One room available in a two-bedroom apartment starting April 1st. The room is spacious, clean, and includes a private closet as well as AC/Heater. Conveniently located near Line 1 Davisville Subway Station and TTC bus stops. Seeking either a single person or two individuals to share the room. Shared amenities include a large lobby with an 85-inch LED screen, comfortable sofa, dining table, and many more things.",8 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-available-in-toronto/1687977384
Sharing Room for 1 Female Student in Scarborough,450,"Scarborough, ON M1B",2024-03-12 05:17:13,,,,,,,,,No,,Yes,,,,,,"Newly Renovated Bedroom in a Basement is available for 1 ""FEMALE STUDENT” in sharing with an Indian Female student from Punjab, India.",4 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/sharing-room-for-1-female-student-in-scarborough/1687977039
"Luxurious fully renovated 3-bdrm, 2-bath private residence",5000,"Grace Street, Toronto, ON",2024-03-12 05:15:30,House,3,2,"Hydro_No,Heat_No,Water_Yes",Not Included,1,1 Year,"March 1, 2024",Yes,"1,600",No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"Welcome to your executive class luxury apartment in this beautifully rented 3 bedroom, 2 bathroom private residence. Step through your private front porch and into the front foyer where your toes will be warmed by the heated Travertine floors. Ascend the new oak stairs to meet the floor to ceiling glass wall in your completely renovated oasis in the city. Your custom kitchen includes integrated appliances and natural stone on both countertops and in the wall feature.",161 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxurious-fully-renovated-3-bdrm-2-bath-private-residence/1685884923
Private rooms- shared kitchen/WRoom-international students,630,"East York, ON M4C 4Y2",2024-03-12 05:15:30,,,,,,,,,No,,Yes,,,,,,Attention international students and others!,,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-rooms-shared-kitchen-wroom-international-students/1687882431
Room for rent near ellesmere/morning side $500,500,"Morrish Rd, Toronto, ON M1C",2024-03-12 05:04:42,,,,,,,,,No,,Yes,,,,,,"Fully furnished house with 4 rooms and 3 bathrooms. 1 room available with furniture and semi washroom. Very close to centennial college, university of Toronto.
No smoking no drinking and. No overnight guests",9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-near-ellesmere-morning-side-500/1687976729
Huge 2 Bed Condos 900 Square Feet (Markham + Ellesmere),2850,"Meadowglen Place, Scarborough, ON",2024-03-12 05:00:31,Condo,2 + Den,2,"Hydro_No,Heat_Yes,Water_Yes",Not Included,1,1 Year,"March 1, 2024",Yes,900,No,Yes,Balcony,Outdoors only,Laundry (In Unit),"Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Welcome to 20 Meadowglen Place, an Oversized 2 bed, 2 bathroom residence with an additional den and the convenience of a dedicated parking spot. The Master bedroom boasts an ensuite bathroom with an adjacent balcony. This condo has over 900 sqft of livable space. Nestled in a prime location, this Condo offers a perfect blend of comfort, style, and functionality. The amenities include Gym / Exercise Room, Rooftop Pool & Deck, Party room, and so much more. Be the first to live in this untouched condo",177 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/huge-2-bed-condos-900-square-feet-markham-ellesmere/1685247199
"***$2,200- 1 Brd. Condo – Joe Shuster***",2200,"Toronto, ON M6J",2024-03-12 05:00:31,Condo,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"January 27, 2024",Limited,500,No,Yes,Not Included,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building",1 bed and 1 bath condo. Open concept. Stainless Steel Appliances and backsplash. Three piece washroom with ceramic tiles. New washer + dryer. Central A/C and heating.,205 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-200-1-brd-condo-joe-shuster/1683605662
2 bedroom basement - Brampton,2000,"Brampton, ON L7A 0Y5",2024-03-12 04:58:33,,,,,,,,,,,No,,,,,,"2 bedroom basement with separate laundry and entrance door. Available immediately
Internet and utilities inclusive.",40 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/2-bedroom-basement-brampton/1687199390
In sharing 1 Bed & 1 Bath in the heart of downtown,1000,"Parliament St, Toronto, ON, M5A 3A6",2024-03-12 04:58:27,,,,,,,,,,,Yes,,,,,,"1 Bedroom 1 Bathroom in sharing Available from 1st May for a flexible sublease in a 2 Bedroom Condo.
Condo is ideally located at Parliament Street with easy-access to Sub ways, Grocery & many more. Below are some of the highlights for you to get a better idea of what living here would look like.
Suite Features:
• Freshly constructed, bright, and spacious open-concept suite
• Beautiful modern kitchen featuring new appliances (stove, dishwasher, microwave, fridge), and quartz countertops
• Brand new bathroom with contemporary cabinetry
• Indoor laundry facility
• Large balcony
Community Features:
• Controlled access and surveillance cameras
• Amenities will include a fitness studio, yoga studio, his & hers change-rooms with steam room, games lounge, event room with Caterer’s kitchen, lounge, meeting room, artist's workshop area, community garden, outdoor swimming pool with seating & sunning areas, outdoor fireplace & grills, party room, pet spa.
• Visitor parking for bicycles & paid public parking for visitors
Location Features:
• Walking distance to King & Queen subway station
• Close proximity to George Brown College
• 7 schools, 10 grocery stores, 197 bars & restaurants Within walking distance
• Super convenient location with a walk score of 98/100 & near-perfect transit score with TTC at your doorstep!
• Steps to Distillery District, St. Lawrence Market, cafes, eateries & more
• 100/100 Transit score, public transit options:
o 65 Parliament
o 502 Downtowner
o 144 Downtowner
o 121 Fort York - Esplanade
o 143 Downtown",4 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/in-sharing-1-bed-1-bath-in-the-heart-of-downtown/1687976553
Short Term Furnished Room for Male Guest Only YORKDALE AREA,1400,"North York, ON M6A 1T1",2024-03-12 04:56:10,,,,,,,,,No,,Yes,,,,,,SHORT TERM RENTAL for SINGLE MALE GUEST ONLY (no students),,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/short-term-furnished-room-for-male-guest-only-yorkdale-area/1687976496
"""FEELS LIKE HOME"" Furnished Room YORKDALE - MALE ONLY",1250,"North York, ON M6A 1T1",2024-03-12 04:55:48,,,,,,,,,No,,Yes,,,,,,⭐MONTHLY / no lease – Working Professional MALE ONLY,,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/feels-like-home-furnished-room-yorkdale-male-only/1687976485
Shared room (April 1),440,"Etobicoke, ON M9W",2024-03-12 04:54:42,,,,,,,,,No,,Yes,,,,,,"From April 1, shared room available in Rexdale, North Etobicoke (Toronto). Shared kitchen, washroom, laundary, WiFi. Other boys on the floor are Indian. Terms and conditions apply. Parking may be available for extra cost. Terms and conditions apply. If interested, respond with phone number.",6 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/shared-room-april-1/1687976451
