Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
1BR & 2BR Brand New Condo units at King St W & Blue Jays Way !!,1850,"Mercer St, Toronto, ON, M5V 1H2",2024-03-01 00:56:11,Condo,2 + Den,2,,Internet,0,1 Year,"March 31, 2024",Yes,"1,000",No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Looking for a couple/working professional to lease a brand new Condo at King St W & Blue Jays Way available immediately !! Steps to Union TTC subway station, GO Transit Concourse, CN Tower, Financial District, Entertainment District, Rogers Centre, P.A.T.H & Much More !!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1br-2br-brand-new-condo-units-at-king-st-w-blue-jays-way/1679080891
1 Bedroom Apartment for Rent Bathurst /Steeles in North York!,2350,"12 Rockford Road, Toronto, ON, M2R 3A2",2024-03-03 00:07:30,Apartment,1,1,,Not Included,0,1 Year,,Yes,Not Available,No,No,Not Included,Yes,,,"Live well at Rockford Apartments; perfectly located near Steeles Avenue West and Bathurst Street. Steps to Rockford Public School, Rockford Child Care and Lissom Park. We are surrounded by convenience! All these services compliment your bright and airy living space. Enjoy sipping coffee from your large balcony or take a dip in our seasonal pool. This vibrant North York neighbourhood will fulfill your every need.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-bathurst-steeles-in-north-york/1665425994
Upper Space Available,750,"1015 Bloor St W, Toronto, ON M6H 1M1, Canada",2024-03-10 20:54:49,,,,,,,,,,500,No,,,,,,"Upper Offices and available between Dovercourt and Dufferin
Larger Office $1200 monthly (12ft x 9ft)
Smaller Office $900 monthly (8.5ft x 8.5ft)
Receptionist 2 Desk Space $750 monthly (10.5ft x 18ft)
All pricing is fully inclusive (of heat, electricity, taxes, etc.)
Professional Building With Shared Kitchen, Negotiable Shared Board Rooms (If Required). Situated Along Bloor Subway Line; Front Street and Side Entrances. Ideal, Spacious, Work Areas. Excellent Location for Professional Use. Office Space Is Shared With Lawyers, Accountants; Synergy Opportunities Abound with Photography Studio/Lab/Podcast potential too.!**** EXTRAS **** Utilities Included.","1,080 visits",https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/upper-space-available/1645813219
A nice room for rent ready for move in - Wilson and Bathurst,,"North York, ON M3H 3N4",2024-03-08 17:35:47,,,,,,,,,,,Yes,,,,,,"A nice room is available for rent.
Wilson and Bathurst.
Large kitchen, 2 bathrooms.
Very convenient location.
TTC at the door.
Please contact 416 897-4445",162 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/a-nice-room-for-rent-ready-for-move-in-wilson-and-bathurst/1687645205
Central Park Place - 2 Bedroom Apartment for Rent,2800,"1294 Islington Avenue, Toronto, ON, M9A 3K2",2024-03-08 05:50:33,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"June 1, 2024",Yes,896,No,No,Balcony,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/central-park-place-2-bedroom-apartment-for-rent/1686104471
Forest Hill Residences - 1 Bedroom Apartment for Rent,2000,"780 Eglinton Avenue West, Toronto, ON, M5N 1E9",2024-03-08 05:49:57,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,500,No,No,Balcony,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/forest-hill-residences-1-bedroom-apartment-for-rent/1682907878
Deluxe Bedroom in Downtown Location Available Now!,1280,"Huntley Street, Toronto, ON",2024-03-12 04:34:23,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Deluxe Bedroom in Downtown Location Available Now! ✨,1 visit,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/deluxe-bedroom-in-downtown-location-available-now/1687975857
Shared Room available for Rent in Scarborough,,"Scarborough, ON M1W",2024-03-12 04:32:44,Townhouse,4 + Den,2.5,,Internet,0,Month-to-month,"April 1, 2024",Limited,1,Yes,Yes,Yard,No,Laundry (In Unit),,"Hello all,
Looking for a guy for Sharing room in a Townhouse with friendly people from April 1st 2024.
తెలుగు Telugu",1 visit,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/shared-room-available-for-rent-in-scarborough/1687975805
Flex Room in Midtown Location Available Now!,1080,"Davisville Avenue, North York, ON",2024-03-12 04:30:25,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Flex Room in Midtown Location Available Now! ✨,2 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/flex-room-in-midtown-location-available-now/1687975724
Downtown Toronto one bedroom Available  April 1st / immediately,980,"Palmerston Ave, 多伦多, M6J 2J2",2024-03-12 04:28:54,,,,,,,,,No,,Yes,,,,,,"Bathurst Dundas one bedroom Available immediately or April 1st
one bedroom on second floor shared bathroom&kitchen,$980, include all Utilities + Internet+ central AC and heat
* 1 min walk to Dundas street car 24/7(505 line),2min walk to bathurst street car 24/7(511 line)",1 visit,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/downtown-toronto-one-bedroom-available-april-1st-immediately/1687975660
