Date,Home team,Score,Away team
19-08-2023,Augsburg,4 - 4,M''gladbach
27-08-2023,Bayern Munich,3 - 1,Augsburg
02-09-2023,Augsburg,2 - 2,Bochum
16-09-2023,RB Leipzig,3 - 0,Augsburg
23-09-2023,Augsburg,2 - 1,Mainz
01-10-2023,Freiburg,2 - 0,Augsburg
07-10-2023,Augsburg,1 - 2,Darmstadt
22-10-2023,Heidenheim,2 - 5,Augsburg
28-10-2023,Augsburg,3 - 2,Wolfsburg
04-11-2023,FC Koln,1 - 1,Augsburg
11-11-2023,Augsburg,1 - 1,Hoffenheim
25-11-2023,Union Berlin,1 - 1,Augsburg
03-12-2023,Augsburg,2 - 1,Ein Frankfurt
09-12-2023,Werder Bremen,2 - 0,Augsburg
16-12-2023,Augsburg,1 - 1,Dortmund
20-12-2023,Stuttgart,3 - 0,Augsburg
13-01-2024,Augsburg,0 - 1,Leverkusen
21-01-2024,M''gladbach,1 - 2,Augsburg
27-01-2024,Augsburg,2 - 3,Bayern Munich
03-02-2024,Bochum,1 - 1,Augsburg
10-02-2024,Augsburg,2 - 2,RB Leipzig
17-02-2024,Mainz,? - ?,Augsburg
18-08-2023,Werder Bremen,0 - 4,Bayern Munich
27-08-2023,Bayern Munich,3 - 1,Augsburg
02-09-2023,M''gladbach,1 - 2,Bayern Munich
15-09-2023,Bayern Munich,2 - 2,Leverkusen
23-09-2023,Bayern Munich,7 - 0,Bochum
30-09-2023,RB Leipzig,2 - 2,Bayern Munich
08-10-2023,Bayern Munich,3 - 0,Freiburg
21-10-2023,Mainz,1 - 3,Bayern Munich
28-10-2023,Bayern Munich,8 - 0,Darmstadt
04-11-2023,Dortmund,0 - 4,Bayern Munich
11-11-2023,Bayern Munich,4 - 2,Heidenheim
24-11-2023,FC Koln,0 - 1,Bayern Munich
09-12-2023,Ein Frankfurt,5 - 1,Bayern Munich
17-12-2023,Bayern Munich,3 - 0,Stuttgart
20-12-2023,Wolfsburg,1 - 2,Bayern Munich
